features_id,bedrooms,bathrooms,squareFootage,features,lotSize
89,4.0,3.0,2793.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle'}",5663.0
90,3.0,2.0,1057.0,"{'architectureType': 'Conventional', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 9, 'unitCount': 1}",4791.0
91,3.0,2.5,2398.0,Unknown,66211.0
92,4.0,2.5,2701.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Combination', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 8, 'fireplaceType': 'Yes'}",5532.0
93,4.0,2.5,3532.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Other', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}",10019.0
94,3.0,1.5,1340.0,"{'cooling': True, 'coolingType': 'Central', 'floorCount': 1, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 5, 'unitCount': 1}",9583.0
95,3.0,2.0,2564.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Other', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1, 'foundationType': 'Other'}",11326.0
96,0.0,3.0,2874.0,"{'architectureType': 'Conventional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Raised', 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Central', 'roomCount': 8, 'unitCount': 1}",16988.0
97,3.0,1.5,1475.0,Unknown,0.0
98,0.0,2.0,1508.0,"{'cooling': True, 'coolingType': 'Refrigeration', 'exteriorType': 'Wood', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 5, 'unitCount': 1}",10990.0
99,3.0,3.0,1593.0,"{'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 2, 'foundationType': 'Other', 'garage': True, 'garageType': 'Attached', 'heating': True, 'roofType': 'Asphalt', 'roomCount': 8, 'unitCount': 1}",1742.0
100,6.0,4.5,3225.0,"{'architectureType': 'Modern', 'cooling': True, 'coolingType': 'Central', 'fireplace': True, 'floorCount': 2, 'garage': True, 'garageSpaces': 3, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'pool': True, 'poolType': 'Pool and Hot Tub / Spa', 'roofType': 'Tile', 'roomCount': 12, 'unitCount': 1, 'viewType': 'Fair'}",10069.0
101,3.0,1.0,1184.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood', 'floorCount': 1, 'foundationType': 'Other', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 4, 'unitCount': 1}",9708.0
102,3.0,1.0,820.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Central', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'exteriorType': 'Stucco', 'floorCount': 2}",0.0
103,0.0,0.0,1109.0,"{'architectureType': 'Ranch', 'exteriorType': 'Brick', 'floorCount': 1, 'heating': True, 'unitCount': 1}",7100.0
104,3.0,2.5,2326.0,"{'architectureType': 'Traditional', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 12, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roomCount': 7, 'unitCount': 1}",6996.0
105,3.0,2.5,2268.0,"{'architectureType': 'Colonial', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick / Stone', 'floorCount': 2, 'foundationType': 'Raised', 'heating': True, 'heatingType': 'Central', 'roomCount': 8, 'unitCount': 1}",11761.0
106,3.0,1.5,943.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Brick Veneer', 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageSpaces': 2, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Central', 'roofType': 'Composition Shingle', 'roomCount': 5, 'unitCount': 1}",6055.0
107,0.0,0.0,1824.0,"{'architectureType': 'Duplex', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'unitCount': 2}",2400.0
108,3.0,2.0,1206.0,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Aluminum / Vinyl Siding', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached Garage', 'heating': True, 'heatingType': 'Central'}",7048.0
109,4.0,2.0,2764.0,"{'exteriorType': 'Wood', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Block', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 8}",9106.0
110,3.0,2.0,1248.0,"{'architectureType': 'Ranch', 'cooling': True, 'coolingType': 'Commercial', 'exteriorType': 'Brick', 'fireplace': True, 'floorCount': 1, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Garage', 'heating': True, 'roomCount': 6, 'unitCount': 1}",0.0
111,4.0,2.0,1096.0,"{'architectureType': 'Split Level', 'floorCount': 2, 'garage': True, 'garageType': 'Garage', 'unitCount': 1}",10019.0
112,2.0,2.0,975.0,Unknown,0.0
113,4.0,3.5,3451.0,"{'architectureType': 'Contemporary', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Combination', 'fireplace': True, 'floorCount': 2, 'foundationType': 'Slab / Mat / Raft', 'garage': True, 'garageType': 'Attached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Asphalt', 'roomCount': 10, 'unitCount': 1}",8008.0
114,3.0,1.0,1176.0,"{'architectureType': 'Conventional', 'exteriorType': 'Aluminum / Vinyl Siding', 'floorCount': 1, 'heating': True, 'heatingType': 'Baseboard', 'roomCount': 5}",7187.0
